review,label
"Saw this film in August at the 27th Annual National Association of Black Journalists Convention in Milwaukee, WI, it's first public screening. THE FILM IS GREAT!!! Derek Luke is wonderful as Antwone Fisher. This young actor has a very bright future. The real Antwone Fisher did a great job writing the film and Denzel's direction is right on the money. See it opening weekend. You won't be disappointed.",1
"Personally, I think Sayonara was the greatest movie he ever made. It touched every emotion from anger to romance to complete tragedy. And Brando should have won for best actor. Anyway, the movie is awesome, the man is attractive to BOTH MEN AND WOMEN and now you have no reason not to see it! Do so, and fall in love.",1
"This is a really funny film, especially the second, third and fourth time you watch it. It's a pretty short film, and i definitely recommend watching it more than once, you will 'get it' more the second time.<br /><br />It's like spinal tap but the rap version. It has a lot of attitude in it which can be a negative thing in rap influenced films, but it's just a total p**s take and isn't a problem because of the irony it creates.<br /><br />Plenty of stand-out bits, one of those types of films which you will find yourself quoting lines with your mates, and it WILL raise laughter.<br /><br />My personal favourite part is the 'guerrillas in the midst' section. Great video, superb!",1
"Absolutely one of the worst movies I have ever seen! The acting, the dialog, the manuscript, the sound, the lighting, the plot line. I actually can't say anything positive about this, although I enjoy Swedish movies. The fighting scenes are so ridiculous that it's impossible to take it seriously. And when the lead character just happens to loose his shirt, while dodging bullets in a strip bar, I'm not sure if it's supposed to be a joke, or if someone really thinks these are ingredients in a good film?! Regina Lund is the only half descent actor, but she disappears in a flood of laughable pronunciations and unbelievable reactions. It leaves you horrified that someone actually spent time and money on something like this...",0
"While movie titles contains the word 'Mother', the first thing that comes to our mind will be a mother's love for her children.<br /><br />However, The Mother tells a different story.<br /><br />The Mother do not discuss the love between a mother and her child, or how she sacrifice herself for the benefit of her child. Here, Notting Hill director Roger Michell tells us how a mother's love for a man about half of her age hurts the people around her.<br /><br />Before Daniel Craig takes on the role of James Bond, here, he plays Darren, a man who is helping to renovate the house of the son of the mother, and sleeping with her daughter as well. Anne Reid, who was a familiar face on TV series, takes up the challenging role of the leading character, May.<br /><br />The story begins with May coping with the sudden loss of her husband, Toots, in a family visit to her son, Bobby. While she befriends Darren, a handyman who is doing some renovation in Bobby's house, she was shocked to found out that her daughter, Paula, was sleeping with Darren. At the same time, May was coping with life after the death of Toots. Fearing that Harry and Paula do not wanted her, May starts to find her life going off track, until she spends her afternoon with Darren.<br /><br />Darren was nice and friendly to May, and May soon finds some affection on Darren. Instead of treating him like a friend, she treated the man who was about half her age with love of a couple. Later, May found sexual pleasure from Darren, where he gave her the pleasure she could never find on anyone else. And this is the beginning of the disaster that could lead to the break down of a family.<br /><br />The Mother explores the inner world of a widow who wanted to try something she never had in her life, and solace on someone who is there for her to shoulder on. This can be told from May buying tea time snacks for Darren to fulfilling sexual needs from a man younger than her, where it eventually gave her more than she bargained for.<br /><br />Anne Reid has made a breakthrough for her role of May, as she was previously best well known for her various role on TV series. As she do not have much movies in her career resume, The Mother has put her on the critic's attention. Daniel Craig, on the other hand, had took on a similar role in his movie career, such as Sylvia (2003) and Enduring Love (2004). If his reprising role of James Bond fails, film reviewers should not forget that he has a better performance in small productions in his years of movie career, and The Mother is one of them.<br /><br />The Mother may not be everyone's favorite, but it is definitely not your usual matinee show to go along with tea and scones, accompanied by butter and jam.",1
"Probably my all-time favorite movie, a story of selflessness, sacrifice and dedication to a noble cause, but it's not preachy or boring. It just never gets old, despite my having seen it some 15 or more times in the last 25 years. Paul Lukas' performance brings tears to my eyes, and Bette Davis, in one of her very few truly sympathetic roles, is a delight. The kids are, as grandma says, more like ""dressed-up midgets"" than children, but that only makes them more fun to watch. And the mother's slow awakening to what's happening in the world and under her own roof is believable and startling. If I had a dozen thumbs, they'd all be ""up"" for this movie.",1
"I was 5 years old when I saw this musical movie while on vacation with my family in St. Thomas in 1977 and immediately fell in love with it. 27 years later, it is still an original inspiration for achieveing my goals that I have set to accomplish since that time!<br /><br />This tragic story of a hard-core ""behind the scenes"" of the entertainment industry during the late 50's, ""Sparkle"" successfully portrays the struggle of three young sisters looking for their place in the sun. This story could simply become the biographical story of many young aspiring artists about what could materialize when things seem to happen too fast and role models are not available to lend a helping hand.<br /><br />The phenomenal music written and composed by Aretha Franklin and Curtis Mayfield, the soundtrack carries the plot with every song. From being subjected to situations that almost leave no choice for strong long-term decision-making, to making the ultimate sacrifice in order to get ahead, all three young girls, Sparkle, Sister, and Delores, represent the different routes that one could take when you set out to achieve your ideal opportunity as your contribution to society.<br /><br />This movie could have possibly spawned the ideas of creating ""Dreamgirls"" on Broadway, and Mariah Carey's ""Glitter,"" 25 years later. As an original audience member of both productions, I have seen a lot of similarities in both stories to ""Sparkle,"" as well as in ""Saturday Night Fever,"" ""Fame,"" ""Flashdance,"" and the off-Broadway smash hit ""Mama, I Want To Sing.""",1
"You can often tell a movie didn't turn out like it should by the heavy use of a narrator. This film features this device throughout. Richard Jobson not entirely content to write direct and even fund some of this film adds to his credits by reading excerpts of his own semi- autobiographical writing which combined with some pretty editing manages to gloss over what is a dull depressing tale which he must be mistaking for genuine art-house. Kevin McKidd puts in a good performance. Everyone else is okay.<br /><br />Budget constraints meant that all scenes are shot in daylight though most are obviously meant to be at night, though if you know serious alcoholics they mainly operate in the day so for me it adds a touch of realism.<br /><br />The funniest part of this film is a waitress who fails to age a single day in the 20 odd years that elapse between her appearances - a more extreme version of the problem McKidd has who goes from 18 to 30 without changing more than his clothes. Bless.",0
"Charles McDougall's resume includes directing episodes on 'Sex and the City', 'Desperate Housewives', Queer as Folk', 'Big Love', 'The Office', etc. so he comes with all the credentials to make the TV film version of Meg Wolitzer's novel SURRENDER, DOROTHY a success. And for the most part he manages to keep this potentially sappy story about sudden death of a loved one and than manner in which the people in her life react afloat.<br /><br />Sara (Alexa Davalos) a beautiful unmarried young woman is accompanying her best friends - gay playwright Adam (Tom Everett Scott), Adam's current squeeze Shawn (Chris Pine), and married couple Maddy (Lauren German) and Peter (Josh Hopkins) with their infant son - to a house in the Hamptons for a summer vacation. The group seems jolly until a trip to the local ice creamery by Adam and Sara) results in an auto accident which kills Sara. Meanwhile Sara's mother Natalie Swedlow (Diane Keaton) who has an active social life but intrusively calls here daughter constantly with the mutual greeting 'Surrender, Dorothy', is playing it up elsewhere: when she receives the phone call that Sara is dead she immediately comes to the Hamptons where her overbearing personality and grief create friction among Sara's friends. Slowly but surely Natalie uncovers secrets about each of them, thriving on talking about Sara as though doing so would bring her to life. Natalie's thirst for truth at any cost results in major changes among the group and it is only through the binding love of the departed Sara that they all eventually come together.<br /><br />Diane Keaton is at her best in these roles that walk the thread between drama and comedy and her presence holds the story together. The screenplay has its moments for good lines, but it also has a lot of filler that becomes a bit heavy and morose making the actors obviously uncomfortable with the lines they are given. Yes, this story has been told many times - the impact of sudden death on the lives of those whose privacy is altered by disclosures - but the film moves along with a cast pace and has enough genuine entertainment to make it worth watching. Grady Harp",1
"I was watching this movie on Friday,Apr 7th. I didn't see the last scene ( cos I was talking with my bro n Mom in law at the same time ). Anyone can tell me what happened to her?I watched slightly that her husband was hearing someone was talking to his wife in the bedroom and then he opened the door,she's dead already.<br /><br />What happened to her? Did she kill herself? How could she arrange everything like the phone calls,meanwhile she's at home when her husband was talking to this strange admirer?Anyone can explain to me,please. I am so so curious!! ( in the end,I read that she suffered from Multiply Disorder Personality ).<br /><br />Thnks before.",1
"This movie had some andrenaline kickers, but it's an old story that simply could never happen. Navy protocols could never break down that much that a crew much less an XO could ever go that far against the Captain. I'll take Dr. Strangelove any day if I wish to see this plot. Sidenote--the US Navy did not support this film.",0
"Three teenage girls in an incomplete triangular relation. The base of the triangle is barely there. At the apex is Marie, a serious, short and lean tomboy with a Belmondo-like facial structure. Her best friend is the physical and psychological opposite: coquette, chubby -- I dare say fat -- and desirous for her first kiss with a boy but not quite ready for her first sexual encounter. Because of her chubbiness, boys don't seem interested and it pains her.<br /><br />The other leg of the apex is a beautiful ""fille fatale"" blonde vamp. She is deeply involved in the sport of synchronized swimming performing at competitive level. Marie sees her during a competition at the local public swimming pool. Marie insinuates herself into the life of the vamp using the desire to become a synchronized swimmer as an argument. The vamp has a reputation of being a whore, making out with any young male that orbits around her. Marie is not phased out by that reputation. Put a stress on reputation.<br /><br />The first half is set up. We get to see a lot of synchronized swimming as we become familiar with the three girls. Eventually the narrative leaves synchronized swimming behind and concentrates on the topsy-turvy relations among the three. That's when unexpected things start to happen.<br /><br />It is a trademark of French films to drop nuggets of wisdom on the viewer. This one is no exception. Here it is about ceilings and the dying. See the film to learn more.<br /><br />The director says that the use of synchronized swimming is purposeful. That women-only sport is a metaphor for a girl's life: pretty and feminine on the surface while hard working and competitive underneath. A number of scenes drive this point: elegant moves and smiles for the public, legs kicking ungainly underwater. The title in French is also suggestive: ""prieuve"", or octopus, suggest an individual having to juggle many pressures simultaneously.",1
"Yes, I know I'm one of the few people longing to trample this movie into the dust of oblivion.So let me me tell you why I feel this way. In truth,had it been advertized as a Zombie film or the like,I might have enjoyed it.But right now,I'm totally speechless.<br /><br />*SPOILER...Though I'm not sure what's to spoil* Let's start with the first HUGE flaw. If I did not know that the movie is called ""Darkness - The VAMPIRE Version"" and had I not seen some sequences where some individuals seem to be sucking blood, I would not have seen the connection with Vampires. I mean, FANGLESS???? Give me a break!!!<br /><br />Second bad point: what's with the Metal? It appears that all young people, but mainly those so-called ""vampires"", are into various kinds of Metal,judging mainly by their shirts! Don't get me wrong, I've been into the more extreme forms of music for almost 15 years, but nobody 's going to scare me by showing me some ridiculous teenagers in Iron Maiden (of all bands!!!) T-shirts running around,pretending to be Vampires! ""Pathetic"" is the only only word that I could use here.<br /><br />Third weakness: the actors. Wait a minute. WHAT actors?! You mean the director's wooden friends! Words would be a waste here.<br /><br />Yes, alright, the movie is very gory, but what difference does that make? It WOULD have been a strong point and something to enjoy if the ""briliant"" director had not chosen to create an ARTIFICIAL vampire topic in this movie. I wanted to see Vampires,but was treated to some stupid looking kids I would have loved to use my baseball bat on. The Film-makers should simply have advertized the movie saying ""cheap B-grade horror with no plot but a lot of gore"" !!!<br /><br />This movie is blasphemy against the whole concept of Vampirism. And it makes me sick.",0
"I got to see this on the plane to NZ last week, and was wondering how it would measure up to both the UK film and the book. I have to say I was favorable impressed. If anything the fanatical attachment to the Red Sox during the lean years works even better than the original devotion to Arsenal FC, who have had success through the years. As a Brit I was also interested to see that you don't need to understand baseball to get what's going on. One question springs to mind - Was the screenplay written using the Sox as the team even before they finally broke the Curse of the Bambino? Or was another team in the frame? As a Red Sox fan myself (weird I know, a Brit who understands baseball) I have to say that it added to the enjoyment.",1
"It's been a long time since I last saw a movie this bad.. The acting is very average, the story is horribly boring, and I'm at a loss for words as to the execution. It was completely unoriginal. O, and this is as much a comedy as Clint Eastwood's a pregnant Schwarzenegger! <br /><br />One of the first scenes (the one with the television show - where the hell are you?) got it right - the cast was 80% of let's face it - forgotten actors. If they were hoping for a career relaunch, then I think it might never happen with this on their CV! The script had the potential, but neither 80% of the actors nor the director (who's an actor and clearly should stick to being an actor) pulled it off. Fred Durst was the only one who seemed better than any of the rest.<br /><br />I'm sorry, but if you ever consider watching this - I highly recommend you turn to something less traumatic, because not only it's a total loss of time, but also a weak example of what bad cinema looks like.",0
"**Possible Spoilers Ahead**<br /><br />	Jason (a.k.a. Herb) Evers is a brilliant brain surgeon who, along with wife Virginia Leith, is involved in the most lackluster onscreen car crash ever. Leith is decapitated and the doctor takes her severed noggin back to his mansion and rejuvenates the head in his lab. The mansion's exterior was allegedly filmed at Tarrytown's Lyndhurst estate; the lab scenes were apparently shot in somebody's basement. The bandaged head is kept alive on ""lab equipment"" that's almost cheap-looking enough for Ed Wood. Some of the library musicthe movie's high pointlater turned up in Andy Milligan's THE BODY BENEATH. Leith's head has some heavy metaphysical discourses with another of Ever's misfires, a mutant chained in the closet. Meanwhile, the good doc prowls strip joints looking for a body worthy of his wife's gabby noodle. The ending, in uncut prints, features some ahead-of-its-time splatter and dismemberment when the zucchini-headed monster comes out of the closet to bring the movie to a welcome close. This thing took three years to be released and then, audiences gave it the bad reception it richly deserved. Between this, PLAN 9 FROM OUTER SPACE and a few others, 1959 should have been declared The Year Of The Turkey.",0
"The film looks super on paper. A romantic comedy in which a frantic lover gets dragged into a smuggling thriller should be generic cross-breeding gold, especially with this excellent romcomic cast.<br /><br />I'm afraid Lawrence Kasdan simply gives his two stars too much rope though and they duly go and hang themselves. Adam Brooks' script may well be to blame but you'd expect better from the Kevin Kline of A Fish Called Wanda. Instead the two ping-pong off one another and the unlikely burgeoning romance is never reconciled satisfactorily with the reason either of them are in and dashing around France.<br /><br />Jean Reno co-stars amiably as the cop-with-a-heart and I guess wishes he was a star-with-a-part. Mind you he went on to do those Pink Panther remake(s!) so perhaps he was OK with this... 3/10",0
"This is one of the most guilty pleasure movies ever!<br /><br />I am embarrassed to say that my favorite character is TISH, but still enjoy watching her make her space outfit ""like super cool"" with a ""like totally bitchin"" belt and stick on rhinestones on her face.<br /><br />But anyways, the movie is actually one of the few ""family"" movies that holds your interest. I know that the begining drags, particuarly if you know what is going to happen, but the second half is probably one of the most nerve wracking segments in a family film.<br /><br />I wouldn't stand up in front of millions of people and proclaim to love this movie, in fact renting it is pretty embarrassing itself, but I'll admit it here with the internet to hide behind.<br /><br />",1
"Wow, here it finally is; the action ""movie"" without action. In a real low-budget setting (don't miss the hilarious flying saucers flying by a few times) of a future Seattle we find a no-brain hardbody seeking to avenge her childhood.<br /><br />There is nothing even remotely original or interesting about the plot and the actors' performance is only rivalled in stupidity by the attempts to steal from other movies, mainly ""Matrix"" without having the money to do it right. Yes, we do get to see some running on walls and slow motion shoot-outs (45 secs approx.) but these scenes are about as cool as the stupid hardbody's attempts at making jokes about male incompetence now and then.<br /><br />And, yes, we are also served a number of leads that lead absolutely nowhere, as if the script was thought-out by the previously unseen cast while shooting the scenes.<br /><br />Believe me, it is as bad as it possibly can get. In fact, it doesn't deserve to be taken seriously, but perhaps I can make some of you not rent it and save your money.",0
"What boob at MGM thought it would be a good idea to place the studly Clark Gable in the role of a Salvation Army worker?? Ironically enough, another handsome future star, Cary Grant, also played a Salvation Army guy just two years later in the highly overrated SHE DONE HIM WRONG. I guess in hindsight it's pretty easy to see the folly of these roles, but I still wonder WHO thought that Salvation Army guys are ""HOT"" and who could look at these dashing men and see them as realistic representations of the parts they played. A long time ago, I used to work for a sister organization of the Salvation Army (the Volunteers of America) and I NEVER saw any studly guys working there (and that includes me, unfortunately). Maybe I should have gotten a job with the Salvation Army instead!<br /><br />So, for the extremely curious, this is a good film to look out for, but for everyone else, it's poor writing, sloppy dialog and annoying moralizing make for a very slow film.",0
Although I rated this movie a 2 for showing a complete lack of effort in trying to create a quality horror film it was a 10 on the unintentional funny scale. I couldn't figure out what was going on in the movie or who the people were but I didn't care because I knew every scene was going to have something to make me cry with laughter. Dialogue is a minimum throughout the movie but I believe this is because they started filming without a script. The fact that there is no plot line makes the movie extremely versatile. It doesn't matter if you sit down and watch the movie from beginning to end or if you watch it in rewind you will be confused with enjoyment. I particularly like the scene in which the inmates are taking turns running around outside beating each other with sticks. I believe the doctor refers to this as treatment. Genius!,0
"I know a lot of people don't like this movie, but I just think it is adorable. There's not much I can say, but the movie is a feel-good movie I guess. The songs are beautiful, the costumes are beautiful, the voices are beautiful, and there are a lot of funny lines in the movie, especially as Briggitta learns about the do's and don't's of society. If you like musicals, I'd say you'd like this one!",1
"Lynn Hollister, a small-town lawyer, travels to the nearby big city on business connected with the death of his friend Johnny. (Yes, Lynn is a man despite the feminine-sounding Christian name. Were the scriptwriters trying to make a snide reference to the fact that John Wayne's birth name was ""Marion""?) Hollister at first believes Johnny's death to have been an accident, but soon realises that Johnny was murdered. Further investigations reveal a web of corruption, criminality and election rigging connected to Boss Cameron, the leading light in city 's political machine.<br /><br />That sounds like the plot of a gritty crime thriller, possibly made in the film noir style which was starting to become popular in 1941. It isn't. ""A Man Betrayed"", despite its theme, is more like a light romantic comedy than a crime drama. Hollister falls in love with Cameron's attractive daughter Sabra, and the film then concentrates as much on their resulting romance as on the suspense elements.<br /><br />This film might just have worked if it had been made as a straightforward serious drama. One reviewer states that John Wayne is not at all believable as a lawyer, but he couldn't play a cowboy in every movie, and a tough crusading lawyer taking on the forces of organised crime would probably have been well within his compass. Where I do agree with that reviewer is when he says that Wayne was no Cary Grant impersonator. Romantic comedy just wasn't up his street. One of the weaknesses of the studio system is that actors could be required to play any part their bosses demanded of them, regardless of whether it was up their street or not, and as Wayne was one of the few major stars working for Republic Pictures they doubtless wanted to get as much mileage out of him as they could.<br /><br />That said, not even Cary Grant himself could have made ""A Man Betrayed"" work as a comedy. That's not a reflection on his comic talents; it's a reflection on the total lack of amusing material in this film. I doubt if anyone, no matter how well developed their sense of humour might be, could find anything to laugh at in it. The film's light-hearted tone doesn't make it a successful comedy; it just prevents it from being taken seriously as anything else. This is one of those films that are neither fish nor flesh nor fowl nor good red herring. 3/10",0
"REVOLT OF THE ZOMBIES (2 outta 5 stars) No, this is not a long-lost ancestor to the classic George A. Romero zombie flicks. This is a low-budget potboiler from 1936 that probably seemed very cool to audiences of the time... but seems awfully routine these days. There is actually a pretty good scene at the start of a soldier firing off his pistol into a horde of approaching zombie soldiers... and a close-up of bullets entering the bare chest of one of them. The effect looks hopelessly fake these days but in 1936 I'm sure it had audiences gasping. The story concerns the search for the secret of mind control... ostensibly to create an unstoppable zombie army... but later as a means for one character to win the woman he loves. The movie is barely an hour long but moves at a snail's pace so it seems feature-length, believe me! There really isn't much to recommend it... you may get some amusement from the faked studio shots of the star ""wading"" through a ""swamp"". The ending is interesting... so I'd say the movie is worth seeing at least once. More than likely you will see it as an extra feature on some cheap ""4 movies on 1 DVD"" compilation at Wal-Mart for five bucks. Hey, it's well worth the money...",0
